178	TARAUACÁ	1	
179	XAPURI	1	
180	PORTO ACRE	1	
181	ALVARÃES	11	
182	AMATURÁ	11	
183	ANAMÃ	11	
184	ANORI	11	
185	APUÍ	11	
186	ATALAIA DO NORTE	11	
187	AUTAZES	11	
188	BARCELOS	11	
189	BARREIRINHA	11	
190	BENJAMIN CONSTANT	11	
191	BERURI	11	
192	BOA VISTA DO RAMOS	11	
193	BOCA DO ACRE	11	
194	BORBA	11	
195	CAAPIRANGA	11	
196	CANUTAMA	11	
197	CARAUARI	11	
198	CAREIRO	11	
199	CAREIRO DA VÁRZEA	11	
200	COARI	11	
201	CODAJÁS	11	
202	EIRUNEPÉ	11	
203	ENVIRA	11	
204	FONTE BOA	11	
205	GUAJARÁ	11	
206	HUMAITÁ	11	
207	IPIXUNA	11	
208	IRANDUBA	11	
209	ITACOATIARA	11	
210	ITAMARATI	11	
211	ITAPIRANGA	11	
212	JAPURÁ	11	
213	JURUÁ	11	
214	JUTAÍ	11	
215	LÁBREA	11	
216	MANACAPURU	11	
217	MANAQUIRI	11	
218	MANAUS	11	
219	MANICORÉ	11	
220	MARAÃ	11	
221	MAUÉS	11	
222	NHAMUNDÁ	11	
223	NOVA OLINDA DO NORTE	11	
224	NOVO AIRÃO	11	
225	NOVO ARIPUANÃ	11	
226	PARINTINS	11	
227	PAUINI	11	
228	PRESIDENTE FIGUEIREDO	11	
229	RIO PRETO DA EVA	11	
230	SANTA ISABEL DO RIO NEGRO	11	
231	SANTO ANTÔNIO DO IÇÁ	11	
232	SÃO GABRIEL DA CACHOEIRA	11	
233	SÃO PAULO DE OLIVENÇA	11	
234	SÃO SEBASTIÃO DO UATUMÃ	11	
235	SILVES	11	
236	TABATINGA	11	
237	TAPAUÁ	11	
238	TEFÉ	11	
239	TONANTINS	11	
240	UARINI	11	
241	URUCARÁ	11	
242	URUCURITUBA	11	
243	AMAJARI	26	
244	ALTO ALEGRE	26	
245	BOA VISTA	26	
246	BONFIM	26	
247	CANTÁ	26	
248	CARACARAÍ	26	
249	CAROEBE	26	
250	IRACEMA	26	
251	MUCAJAÍ	26	
252	NORMANDIA	26	
253	PACARAIMA	26	
254	RORAINÓPOLIS	26	
255	SÃO JOÃO DA BALIZA	26	
256	SÃO LUIZ	26	
257	UIRAMUTÃ	26	
258	ABAETETUBA	21	
259	ABEL FIGUEIREDO	21	
260	ACARÁ	21	
261	AFUÁ	21	
262	ÁGUA AZUL DO NORTE	21	
263	ALENQUER	21	
264	ALMEIRIM	21	
265	ALTAMIRA	21	
266	ANAJÁS	21	
267	ANANINDEUA	21	
268	ANAPU	21	
269	AUGUSTO CORRÊA	21	
270	AURORA DO PARÁ	21	
271	AVEIRO	21	
272	BAGRE	21	
273	BAIÃO	21	
274	BANNACH	21	
275	BARCARENA	21	
276	BELÉM	21	
277	BELTERRA	21	
278	BENEVIDES	21	
279	BOM JESUS DO TOCANTINS	21	
280	BONITO	21	
281	BRAGANÇA	21	
282	BRASIL NOVO	21	
283	BREJO GRANDE DO ARAGUAIA	21	
284	BREU BRANCO	21	
285	BREVES	21	
286	BUJARU	21	
287	CACHOEIRA DO PIRIÁ	21	
288	CACHOEIRA DO ARARI	21	
289	CAMETÁ	21	
290	CANAÃ DOS CARAJÁS	21	
291	CAPANEMA	21	
292	CAPITÃO POÇO	21	
293	CASTANHAL	21	
294	CHAVES	21	
295	COLARES	21	
296	CONCEIÇÃO DO ARAGUAIA	21	
297	CONCÓRDIA DO PARÁ	21	
298	CUMARU DO NORTE	21	
299	CURIONÓPOLIS	21	
300	CURRALINHO	21	
301	CURUÁ	21	
302	CURUÇÁ	21	
303	DOM ELISEU	21	
304	ELDORADO DO CARAJÁS	21	
305	FARO	21	
306	FLORESTA DO ARAGUAIA	21	
307	GARRAFÃO DO NORTE	21	
308	GOIANÉSIA DO PARÁ	21	
309	GURUPÁ	21	
310	IGARAPÉ-AÇU	21	
311	IGARAPÉ-MIRI	21	
312	INHANGAPI	21	
313	IPIXUNA DO PARÁ	21	
314	IRITUIA	21	
315	ITAITUBA	21	
316	ITUPIRANGA	21	
317	JACAREACANGA	21	
318	JACUNDÁ	21	
319	JURUTI	21	
320	LIMOEIRO DO AJURU	21	
321	MÃE DO RIO	21	
322	MAGALHÃES BARATA	21	
323	MARABÁ	21	
324	MARACANÃ	21	
325	MARAPANIM	21	
326	MARITUBA	21	
327	MEDICILÂNDIA	21	
328	MELGAÇO	21	
329	MOCAJUBA	21	
330	MOJU	21	
331	MOJUÍ DOS CAMPOS	21	
332	MONTE ALEGRE	21	
333	MUANÁ	21	
334	NOVA ESPERANÇA DO PIRIÁ	21	
335	NOVA IPIXUNA	21	
336	NOVA TIMBOTEUA	21	
337	NOVO PROGRESSO	21	
338	NOVO REPARTIMENTO	21	
339	ÓBIDOS	21	
340	OEIRAS DO PARÁ	21	
341	ORIXIMINÁ	21	
342	OURÉM	21	
343	OURILÂNDIA DO NORTE	21	
344	PACAJÁ	21	
345	PALESTINA DO PARÁ	21	
346	PARAGOMINAS	21	
347	PARAUAPEBAS	21	
348	PAU DARCO	21	
349	PEIXE-BOI	21	
350	PIÇARRA	21	
351	PLACAS	21	
352	PONTA DE PEDRAS	21	
353	PORTEL	21	
354	PORTO DE MOZ	21	
355	PRAINHA	21	
356	PRIMAVERA	21	
357	QUATIPURU	21	
358	REDENÇÃO	21	
359	RIO MARIA	21	
360	RONDON DO PARÁ	21	
361	RURÓPOLIS	21	
362	SALINÓPOLIS	21	
